dataset,features,ratio,args,mean_acc,std_acc
citeseer,wvrn,0.1,nan,0.575310298557531,0.014639362942236963
citeseer,wvrn,0.2,nan,0.6192075471698113,0.010476484825856228
citeseer,wvrn,0.30000000000000004,nan,0.6497842968075926,0.007326291532477588
citeseer,wvrn,0.4,nan,0.6727226975339708,0.008398081334562496
citeseer,wvrn,0.5,nan,0.6818236714975845,0.0078757482316247
citeseer,wvrn,0.6,nan,0.7051320754716981,0.011318238714123742
citeseer,wvrn,0.7000000000000001,nan,0.7092555331991952,0.006588491852578299
citeseer,wvrn,0.8,nan,0.7188821752265862,0.01643142274907436
citeseer,wvrn,0.9,nan,0.7293051359516617,0.0214669286517208
cora,wvrn,0.1,nan,0.7853098071399259,0.00791861643534113
cora,wvrn,0.2,nan,0.8145891043397968,0.00818447275397468
cora,wvrn,0.30000000000000004,nan,0.8262130801687764,0.008577772134646923
cora,wvrn,0.4,nan,0.8379076923076922,0.006896701895936941
cora,wvrn,0.5,nan,0.8403249630723781,0.0062648907355657545
cora,wvrn,0.6,nan,0.8485687903970452,0.010300523564593113
cora,wvrn,0.7000000000000001,nan,0.8588669950738916,0.008356657241378957
cora,wvrn,0.8,nan,0.850369003690037,0.015666368793619
cora,wvrn,0.9,nan,0.8660516605166052,0.036696855765171434
imdb_all,wvrn,0.1,nan,0.6190476190476191,0.02892836719400667
imdb_all,wvrn,0.2,nan,0.6493647912885662,0.00921647218323686
imdb_all,wvrn,0.30000000000000004,nan,0.6820539419087137,0.011132337504844577
imdb_all,wvrn,0.4,nan,0.6939467312348667,0.01368270852479799
imdb_all,wvrn,0.5,nan,0.7122093023255814,0.01440510537530861
imdb_all,wvrn,0.6,nan,0.7237749546279492,0.018245357286044084
imdb_all,wvrn,0.7000000000000001,nan,0.7401937046004842,0.02781987610640464
imdb_all,wvrn,0.8,nan,0.7447272727272727,0.019149980759400245
imdb_all,wvrn,0.9,nan,0.7326086956521739,0.0227745885339578
citeseer,nlb,0.1,nan,0.24823884602482396,0.07837488044572244
citeseer,nlb,0.2,nan,0.34456603773584904,0.07557465723446558
citeseer,nlb,0.30000000000000004,nan,0.4274805867126834,0.07324412863876098
citeseer,nlb,0.4,nan,0.6263714141922497,0.03061022166722385
citeseer,nlb,0.5,nan,0.6699879227053139,0.011692924057747236
citeseer,nlb,0.6,nan,0.6889056603773585,0.011311246880894864
citeseer,nlb,0.7000000000000001,nan,0.7125754527162977,0.006774475215936689
citeseer,nlb,0.8,nan,0.7102719033232627,0.01610964219009525
citeseer,nlb,0.9,nan,0.7492447129909364,0.018126888217522653
cora,nlb,0.1,nan,0.2530160032827246,0.11454525864286802
cora,nlb,0.2,nan,0.3582179132040627,0.10220022409352343
cora,nlb,0.30000000000000004,nan,0.4765295358649789,0.15612690395270692
cora,nlb,0.4,nan,0.6579692307692308,0.12856279953928368
cora,nlb,0.5,nan,0.8119645494830132,0.029346967582898505
cora,nlb,0.6,nan,0.8496768236380425,0.012673950091799415
cora,nlb,0.7000000000000001,nan,0.8479064039408867,0.024384720213254885
cora,nlb,0.8,nan,0.8566420664206642,0.012784142175737869
cora,nlb,0.9,nan,0.8881918819188191,0.023211084960325003
imdb_all,nlb,0.1,nan,0.5003228410008072,0.06560071454444512
imdb_all,nlb,0.2,nan,0.502994555353902,0.06362600408739788
imdb_all,nlb,0.30000000000000004,nan,0.5029045643153527,0.062334338605792815
imdb_all,nlb,0.4,nan,0.5228813559322034,0.05754943636356225
imdb_all,nlb,0.5,nan,0.5963662790697674,0.03601634824082711
imdb_all,nlb,0.6,nan,0.7814882032667876,0.009984600622275984
imdb_all,nlb,0.7000000000000001,nan,0.7878934624697337,0.01666622695611339
imdb_all,nlb,0.8,nan,0.7934545454545455,0.019828465499809503
imdb_all,nlb,0.9,nan,0.8028985507246377,0.017350999996200947
citeseer,alchemy_bow_link,0.1,-1.0,0.65623951694025,0.013065284934512245
citeseer,alchemy_bow_link,0.2,-1.0,0.6743396226417501,0.009917184072626033
citeseer,alchemy_bow_link,0.3,-1.0,0.6776627856835,0.020873025115016954
citeseer,alchemy_bow_link,0.4,-1.0,0.689637826962,0.0063759736225202975
citeseer,alchemy_bow_link,0.5,-1.0,0.69640700483075,0.013604837044861755
citeseer,alchemy_bow_link,0.6,-1.0,0.697924528302,0.011649320030512165
citeseer,alchemy_bow_link,0.7,-1.0,0.7032193158955,0.014060533396129669
citeseer,alchemy_bow_link,0.8,-1.0,0.6975867269984999,0.011971725389347317
citeseer,alchemy_bow_link,0.9,-1.0,0.6890060240962499,0.016747818592266553
citeseer,bow,0.1,-1.0,0.6634350888963435,0.0056798260943011466
citeseer,bow,0.2,-1.0,0.6908679245283019,0.003984861190274725
citeseer,bow,0.30000000000000004,-1.0,0.7013367830961622,0.007767820236266145
citeseer,bow,0.4,-1.0,0.7079476861167002,0.010254662922188972
citeseer,bow,0.5,-1.0,0.7169685990338163,0.009394146320446366
citeseer,bow,0.6,-1.0,0.7215849056603774,0.008014464199597709
citeseer,bow,0.7000000000000001,-1.0,0.7243460764587526,0.007921537096591132
citeseer,bow,0.8,-1.0,0.7262443438914028,0.01522058874129535
citeseer,bow,0.9,-1.0,0.7382530120481927,0.020549243659493177
citeseer,bow_counts,0.1,-1.0,0.6812143575981213,0.011536424874119617
citeseer,bow_counts,0.2,-1.0,0.710943396226415,0.011992640439300681
citeseer,bow_counts,0.30000000000000004,-1.0,0.7313497197067702,0.008595610974690759
citeseer,bow_counts,0.4,-1.0,0.739185110663984,0.011785494703746301
citeseer,bow_counts,0.5,-1.0,0.7493357487922705,0.009891632859218031
citeseer,bow_counts,0.6,-1.0,0.7584905660377359,0.008275161863341207
citeseer,bow_counts,0.7000000000000001,-1.0,0.7611670020120724,0.010981730043598693
citeseer,bow_counts,0.8,-1.0,0.7653092006033182,0.010406146793764795
citeseer,bow_counts,0.9,-1.0,0.7746987951807228,0.018061129977323776
citeseer,cluster,0.1,0.0,0.5397328881469114,0.017139857915201694
citeseer,cluster,0.1,2.0,0.2954590984974958,0.03841311684969136
citeseer,cluster,0.1,4.0,0.4164941569282137,0.006451748159141073
citeseer,cluster,0.1,8.0,0.4531552587646077,0.010214821608303212
citeseer,cluster,0.1,16.0,0.47021702838063445,0.014933707020347119
citeseer,cluster,0.1,32.0,0.48631051752921534,0.023948821043711144
citeseer,cluster,0.1,64.0,0.46480801335559263,0.013584980556330156
citeseer,cluster,0.1,128.0,0.447746243739566,0.02127832760481983
citeseer,cluster,0.1,256.0,0.41472454090150246,0.01724878367629102
citeseer,cluster,0.1,512.0,0.35492487479131885,0.01107499093837183
citeseer,cluster,0.1,1024.0,0.3018030050083473,0.020209729062976838
citeseer,cluster,0.2,0.0,0.5963185574755824,0.006820018463047998
citeseer,cluster,0.2,2.0,0.3225394440270474,0.004183893373907016
citeseer,cluster,0.2,4.0,0.418144252441773,0.005938212931000544
citeseer,cluster,0.2,8.0,0.4593163035311796,0.012454174404462615
citeseer,cluster,0.2,16.0,0.4782118707738543,0.014863674656371107
citeseer,cluster,0.2,32.0,0.5060856498873029,0.006740465817486822
citeseer,cluster,0.2,64.0,0.5021412471825696,0.010537842942926074
citeseer,cluster,0.2,128.0,0.5039819684447784,0.011505451252782517
citeseer,cluster,0.2,256.0,0.5043576258452291,0.009512039689523803
citeseer,cluster,0.2,512.0,0.4545454545454545,0.015324898517288682
citeseer,cluster,0.2,1024.0,0.39429000751314797,0.009526863913173861
citeseer,cluster,0.30000000000000004,0.0,0.622713610991842,0.009253426772097603
citeseer,cluster,0.30000000000000004,2.0,0.3231429798196651,0.005853010944311855
citeseer,cluster,0.30000000000000004,4.0,0.41773293258909405,0.004992714154354349
citeseer,cluster,0.30000000000000004,8.0,0.4665092314297983,0.008010410945442008
citeseer,cluster,0.30000000000000004,16.0,0.4829969944182052,0.008478026163271092
citeseer,cluster,0.30000000000000004,32.0,0.5158437097466725,0.00856635947252378
citeseer,cluster,0.30000000000000004,64.0,0.5065693430656933,0.005183343145177522
citeseer,cluster,0.30000000000000004,128.0,0.5201803349076857,0.010591581265386417
citeseer,cluster,0.30000000000000004,256.0,0.5391155002146844,0.00847017003822792
citeseer,cluster,0.30000000000000004,512.0,0.5223271790468011,0.007969390808617634
citeseer,cluster,0.30000000000000004,1024.0,0.4677544010304852,0.009328717826967843
citeseer,cluster,0.4,0.0,0.642663995993991,0.014913082613337994
citeseer,cluster,0.4,2.0,0.3257886830245368,0.006935398083083886
citeseer,cluster,0.4,4.0,0.41757636454682023,0.005927082915945568
citeseer,cluster,0.4,8.0,0.46604907361041564,0.01068282110586112
citeseer,cluster,0.4,16.0,0.4877315973960942,0.010897011346317527
citeseer,cluster,0.4,32.0,0.514421632448673,0.008602464544469966
citeseer,cluster,0.4,64.0,0.5085127691537304,0.008508677066232226
citeseer,cluster,0.4,128.0,0.528442663995994,0.009744439084779186
citeseer,cluster,0.4,256.0,0.5501752628943415,0.008221575121098518
citeseer,cluster,0.4,512.0,0.5529794692038057,0.008929827760385187
citeseer,cluster,0.4,1024.0,0.527741612418628,0.00677794186307523
citeseer,cluster,0.5,0.0,0.6677283653846153,0.012398690840900312
citeseer,cluster,0.5,2.0,0.3278245192307693,0.005971097179803463
citeseer,cluster,0.5,4.0,0.4192908653846154,0.007094005277911051
citeseer,cluster,0.5,8.0,0.46616586538461535,0.012720115962873148
citeseer,cluster,0.5,16.0,0.48725961538461543,0.008948745786906713
citeseer,cluster,0.5,32.0,0.514423076923077,0.010584811549372464
citeseer,cluster,0.5,64.0,0.5113581730769231,0.010204359169356966
citeseer,cluster,0.5,128.0,0.5284254807692308,0.008981197671950516
citeseer,cluster,0.5,256.0,0.5667668269230769,0.011502131027452607
citeseer,cluster,0.5,512.0,0.5765024038461538,0.008274231446746298
citeseer,cluster,0.5,1024.0,0.5739783653846154,0.01326191390806654
citeseer,cluster,0.6,0.0,0.6783621337340346,0.011435187880537375
citeseer,cluster,0.6,2.0,0.3293764087152517,0.008501632241934594
citeseer,cluster,0.6,4.0,0.42058602554470326,0.005322034143404838
citeseer,cluster,0.6,8.0,0.46521412471825707,0.010541041559764423
citeseer,cluster,0.6,16.0,0.4866265965439519,0.009510391127201742
citeseer,cluster,0.6,32.0,0.515251690458302,0.010955350354722783
citeseer,cluster,0.6,64.0,0.5148009015777611,0.013364114316668606
citeseer,cluster,0.6,128.0,0.5340345604808414,0.00921395024298139
citeseer,cluster,0.6,256.0,0.5688955672426748,0.01371615430630708
citeseer,cluster,0.6,512.0,0.5889556724267468,0.01226610737314904
citeseer,cluster,0.6,1024.0,0.6110443275732532,0.016230447907897832
citeseer,cluster,0.7000000000000001,0.0,0.7009009009009008,0.017998234297513422
citeseer,cluster,0.7000000000000001,2.0,0.32822822822822817,0.008668280794580157
citeseer,cluster,0.7000000000000001,4.0,0.41941941941941946,0.009461092344849683
citeseer,cluster,0.7000000000000001,8.0,0.46656656656656653,0.018045493701614075
citeseer,cluster,0.7000000000000001,16.0,0.491991991991992,0.01788934392627318
citeseer,cluster,0.7000000000000001,32.0,0.5159159159159159,0.015299277817450612
citeseer,cluster,0.7000000000000001,64.0,0.5223223223223223,0.011795022273095328
citeseer,cluster,0.7000000000000001,128.0,0.5341341341341341,0.016910038161091535
citeseer,cluster,0.7000000000000001,256.0,0.5755755755755756,0.014164154338869039
citeseer,cluster,0.7000000000000001,512.0,0.6005005005005006,0.01682588428874485
citeseer,cluster,0.7000000000000001,1024.0,0.635935935935936,0.014172405188816007
citeseer,cluster,0.8,0.0,0.718018018018018,0.016836467855017297
citeseer,cluster,0.8,2.0,0.3343843843843844,0.009550252532763258
citeseer,cluster,0.8,4.0,0.4222222222222222,0.013028403926744448
citeseer,cluster,0.8,8.0,0.4681681681681681,0.01873771204292143
citeseer,cluster,0.8,16.0,0.49804804804804803,0.020636771229463304
citeseer,cluster,0.8,32.0,0.527027027027027,0.018686841544139913
citeseer,cluster,0.8,64.0,0.5315315315315314,0.019137191485794326
citeseer,cluster,0.8,128.0,0.5481981981981981,0.016696774712183976
citeseer,cluster,0.8,256.0,0.5846846846846848,0.017598838840611076
citeseer,cluster,0.8,512.0,0.6144144144144144,0.015309098687932697
citeseer,cluster,0.8,1024.0,0.6555555555555557,0.01544593523401471
citeseer,cluster,0.9,0.0,0.733033033033033,0.02116117063136489
citeseer,cluster,0.9,2.0,0.3348348348348348,0.023271927802928513
citeseer,cluster,0.9,4.0,0.42312312312312306,0.019433345883032565
citeseer,cluster,0.9,8.0,0.47207207207207214,0.021552925385122507
citeseer,cluster,0.9,16.0,0.4897897897897899,0.022313567457714456
citeseer,cluster,0.9,32.0,0.527027027027027,0.02257251708464425
citeseer,cluster,0.9,64.0,0.5360360360360359,0.025094997270715687
citeseer,cluster,0.9,128.0,0.551051051051051,0.029363643931677858
citeseer,cluster,0.9,256.0,0.5867867867867869,0.027384284693912662
citeseer,cluster,0.9,512.0,0.6225225225225225,0.02247464603322867
citeseer,cluster,0.9,1024.0,0.6702702702702703,0.014968228742756235
citeseer,counts,0.1,0.0,0.31545909849749576,0.0168846891307624
citeseer,counts,0.1,1.0,0.46227045075125195,0.01728235965862307
citeseer,counts,0.1,2.0,0.5000667779632721,0.01759827753500925
citeseer,counts,0.2,0.0,0.40694966190833953,0.011076126072845917
citeseer,counts,0.2,1.0,0.5493238166791885,0.008285401004801988
citeseer,counts,0.2,2.0,0.5733658903080391,0.010835688507622263
citeseer,counts,0.30000000000000004,0.0,0.47870330613997425,0.023306155091617143
citeseer,counts,0.30000000000000004,1.0,0.6083726921425503,0.011210190704945985
citeseer,counts,0.30000000000000004,2.0,0.6228853585229712,0.009652154373637539
citeseer,counts,0.4,0.0,0.5405107661492239,0.010429844474584136
citeseer,counts,0.4,1.0,0.6400100150225339,0.008222930530596964
citeseer,counts,0.4,2.0,0.6486730095142715,0.010567839460298456
citeseer,counts,0.5,0.0,0.5859975961538462,0.01437974817424432
citeseer,counts,0.5,1.0,0.672235576923077,0.013704617181530366
citeseer,counts,0.5,2.0,0.6775841346153845,0.016623585415163726
citeseer,counts,0.6,0.0,0.6254695717505634,0.013644864159439196
citeseer,counts,0.6,1.0,0.6865514650638618,0.016271936110690867
citeseer,counts,0.6,2.0,0.6932381667918858,0.012979614030895838
citeseer,counts,0.7000000000000001,0.0,0.6568568568568568,0.01714282204620819
citeseer,counts,0.7000000000000001,1.0,0.7079079079079079,0.01833529768534553
citeseer,counts,0.7000000000000001,2.0,0.7080080080080081,0.016610116208786788
citeseer,counts,0.8,0.0,0.6803303303303303,0.026573230270281245
citeseer,counts,0.8,1.0,0.7187687687687687,0.024965394420402374
citeseer,counts,0.8,2.0,0.7127627627627626,0.02733163532540816
citeseer,counts,0.9,0.0,0.6903903903903904,0.02683914975514398
citeseer,counts,0.9,1.0,0.7165165165165165,0.031660761285960855
citeseer,counts,0.9,2.0,0.7153153153153152,0.038711699688724635
citeseer,id_counts,0.1,-1.0,0.5103505843071787,0.018744311147037528
citeseer,id_counts,0.2,-1.0,0.5873403456048084,0.01121008513251425
citeseer,id_counts,0.30000000000000004,-1.0,0.6206526406182911,0.00832638553296042
citeseer,id_counts,0.4,-1.0,0.6496244366549824,0.008686264086834804
citeseer,id_counts,0.5,-1.0,0.6707932692307692,0.012697223698310278
citeseer,id_counts,0.6,-1.0,0.6909090909090909,0.013067023069875242
citeseer,id_counts,0.7000000000000001,-1.0,0.7146146146146146,0.011329456510043445
citeseer,id_counts,0.8,-1.0,0.7184684684684685,0.008412280437418627
citeseer,id_counts,0.9,-1.0,0.726126126126126,0.015364631715196685
citeseer,id_proba,0.1,-1.0,0.5241068447412354,0.01316789832210717
citeseer,id_proba,0.2,-1.0,0.5972952667167543,0.013923556848403712
citeseer,id_proba,0.30000000000000004,-1.0,0.6313439244310862,0.01071837005371248
citeseer,id_proba,0.4,-1.0,0.6605908863294943,0.010845241343681455
citeseer,id_proba,0.5,-1.0,0.6842548076923078,0.017766972756309573
citeseer,id_proba,0.6,-1.0,0.6997746055597295,0.01380912153025331
citeseer,id_proba,0.7000000000000001,-1.0,0.7210210210210211,0.012030997490307557
citeseer,id_proba,0.8,-1.0,0.7339339339339339,0.019265043801751654
citeseer,id_proba,0.9,-1.0,0.7447447447447447,0.016629877603442794
citeseer,id_rwr,0.1,-1.0,0.5448414023372287,0.023361048785997963
citeseer,id_rwr,0.2,-1.0,0.6099173553719008,0.010712202296788707
citeseer,id_rwr,0.30000000000000004,-1.0,0.6407041648776299,0.014520878805577358
citeseer,id_rwr,0.4,-1.0,0.6679519278918378,0.012032970734794255
citeseer,id_rwr,0.5,-1.0,0.6871995192307692,0.014219229203301605
citeseer,id_rwr,0.6,-1.0,0.7003005259203606,0.010727706673512772
citeseer,id_rwr,0.7000000000000001,-1.0,0.7142142142142142,0.012873234383627174
citeseer,id_rwr,0.8,-1.0,0.7250750750750752,0.016741723038423133
citeseer,id_rwr,0.9,-1.0,0.7387387387387387,0.014297154011097392
citeseer,ids,0.1,0.0,0.4132220367278799,0.014738461119039956
citeseer,ids,0.1,1.0,0.477228714524207,0.013020323448097948
citeseer,ids,0.1,2.0,0.4955926544240401,0.013374175534203964
citeseer,ids,0.2,0.0,0.47997746055597296,0.008946028582540793
citeseer,ids,0.2,1.0,0.5265214124718257,0.0075448035017201985
citeseer,ids,0.2,2.0,0.536664162283997,0.005916388729265847
citeseer,ids,0.30000000000000004,0.0,0.5236582224130528,0.008503960102453969
citeseer,ids,0.30000000000000004,1.0,0.5628166595105195,0.008047532109711063
citeseer,ids,0.30000000000000004,2.0,0.5610133104336625,0.008281860736851382
citeseer,ids,0.4,0.0,0.5512268402603906,0.009544385950252724
citeseer,ids,0.4,1.0,0.5806209313970956,0.010043497049424175
citeseer,ids,0.4,2.0,0.5810716074111166,0.007268849111007569
citeseer,ids,0.5,0.0,0.5743389423076922,0.014853600554305443
citeseer,ids,0.5,1.0,0.5950721153846154,0.0160901146971737
citeseer,ids,0.5,2.0,0.5956129807692307,0.01379581644316255
citeseer,ids,0.6,0.0,0.5851990984222389,0.014084564417068996
citeseer,ids,0.6,1.0,0.6041322314049586,0.014097917249437136
citeseer,ids,0.6,2.0,0.602404207362885,0.017371825087535563
citeseer,ids,0.7000000000000001,0.0,0.5977977977977978,0.015549025419606129
citeseer,ids,0.7000000000000001,1.0,0.6102102102102103,0.01845875279721089
citeseer,ids,0.7000000000000001,2.0,0.6098098098098099,0.018280567146624967
citeseer,ids,0.8,0.0,0.6031531531531532,0.013780588497376251
citeseer,ids,0.8,1.0,0.6201201201201202,0.018966261583078264
citeseer,ids,0.8,2.0,0.6117117117117117,0.0132646796984854
citeseer,ids,0.9,0.0,0.6075075075075075,0.02652369335352755
citeseer,ids,0.9,1.0,0.6201201201201202,0.02378299173276293
citeseer,ids,0.9,2.0,0.6102102102102102,0.02376402518634758
citeseer,ids_labeled,0.1,0.0,0.2281803005008347,0.023653710218422337
citeseer,ids_labeled,0.1,1.0,0.3631385642737896,0.014367352900707207
citeseer,ids_labeled,0.1,2.0,0.4320200333889816,0.012982595175457502
citeseer,ids_labeled,0.1,3.0,0.460567612687813,0.012827820982167577
citeseer,ids_labeled,0.2,0.0,0.30661157024793384,0.014526283038659
citeseer,ids_labeled,0.2,1.0,0.44049586776859495,0.009767413481149621
citeseer,ids_labeled,0.2,2.0,0.4888054094665664,0.01289671971691653
citeseer,ids_labeled,0.2,3.0,0.5014274981217131,0.009491577278649617
citeseer,ids_labeled,0.30000000000000004,0.0,0.3684843280377844,0.016315764362464832
citeseer,ids_labeled,0.30000000000000004,1.0,0.4900386431945041,0.013348161572302225
citeseer,ids_labeled,0.30000000000000004,2.0,0.5234435379991413,0.00894363805162004
citeseer,ids_labeled,0.30000000000000004,3.0,0.530055817947617,0.010655212309639388
citeseer,ids_labeled,0.4,0.0,0.4255883825738608,0.010766990245850469
citeseer,ids_labeled,0.4,1.0,0.5297946920380571,0.005351767498537548
citeseer,ids_labeled,0.4,2.0,0.5516274411617427,0.010054448629523139
citeseer,ids_labeled,0.4,3.0,0.5497746619929894,0.013551052929285035
citeseer,ids_labeled,0.5,0.0,0.468389423076923,0.014470852142126997
citeseer,ids_labeled,0.5,1.0,0.553545673076923,0.01443267242243043
citeseer,ids_labeled,0.5,2.0,0.5698317307692308,0.014455869949417884
citeseer,ids_labeled,0.5,3.0,0.5650240384615385,0.014549945048988702
citeseer,ids_labeled,0.6,0.0,0.5047332832456799,0.014700534281270062
citeseer,ids_labeled,0.6,1.0,0.5735537190082645,0.015047985014855924
citeseer,ids_labeled,0.6,2.0,0.582419233658903,0.018926904128182948
citeseer,ids_labeled,0.6,3.0,0.5797896318557475,0.018383090002993548
citeseer,ids_labeled,0.7000000000000001,0.0,0.5415415415415415,0.019813190309381425
citeseer,ids_labeled,0.7000000000000001,1.0,0.5931931931931932,0.02147530168922764
citeseer,ids_labeled,0.7000000000000001,2.0,0.5986986986986987,0.020116827448287283
citeseer,ids_labeled,0.7000000000000001,3.0,0.5946946946946947,0.019966840725569118
citeseer,ids_labeled,0.8,0.0,0.5666666666666667,0.01979604442473986
citeseer,ids_labeled,0.8,1.0,0.6031531531531531,0.01898012460483028
citeseer,ids_labeled,0.8,2.0,0.6025525525525526,0.020709474541601554
citeseer,ids_labeled,0.8,3.0,0.5972972972972974,0.01931698523816237
citeseer,ids_labeled,0.9,0.0,0.5918918918918918,0.023833495399762285
citeseer,ids_labeled,0.9,1.0,0.615015015015015,0.030355262517116115
citeseer,ids_labeled,0.9,2.0,0.609009009009009,0.023679545625733177
citeseer,ids_labeled,0.9,3.0,0.6039039039039038,0.02650101706552279
citeseer,proba,0.1,0.0,0.3200667779632721,0.01451744662150735
citeseer,proba,0.1,1.0,0.4627045075125209,0.012851553537305892
citeseer,proba,0.1,2.0,0.5169282136894825,0.016662406565148436
citeseer,proba,0.2,0.0,0.40676183320811427,0.011342946021951574
citeseer,proba,0.2,1.0,0.5466190833959429,0.009180279175500317
citeseer,proba,0.2,2.0,0.587114951164538,0.0072463913324607755
citeseer,proba,0.30000000000000004,0.0,0.48012022327179055,0.021385077398709925
citeseer,proba,0.30000000000000004,1.0,0.6129669386002576,0.010370637461086912
citeseer,proba,0.30000000000000004,2.0,0.633104336625161,0.010796536829711146
citeseer,proba,0.4,0.0,0.5431647471206811,0.011462838747518621
citeseer,proba,0.4,1.0,0.6433149724586882,0.008838883893843961
citeseer,proba,0.4,2.0,0.6602403605408111,0.010776818863959405
citeseer,proba,0.5,0.0,0.5920673076923076,0.012373906879316124
citeseer,proba,0.5,1.0,0.6765625,0.012919663670564567
citeseer,proba,0.5,2.0,0.6866586538461539,0.013252076309166548
citeseer,proba,0.6,0.0,0.6274229902329076,0.014626323788218036
citeseer,proba,0.6,1.0,0.6941397445529678,0.01227121952947522
citeseer,proba,0.6,2.0,0.7009015777610819,0.014133463127657805
citeseer,proba,0.7000000000000001,0.0,0.6605605605605607,0.020078049587658027
citeseer,proba,0.7000000000000001,1.0,0.7080080080080081,0.017318892359657233
citeseer,proba,0.7000000000000001,2.0,0.7117117117117115,0.015261390224936652
citeseer,proba,0.8,0.0,0.684984984984985,0.02543015412428466
citeseer,proba,0.8,1.0,0.715015015015015,0.021243873305121827
citeseer,proba,0.8,2.0,0.7181681681681682,0.021211421425102916
citeseer,proba,0.9,0.0,0.6936936936936936,0.02925253092332954
citeseer,proba,0.9,1.0,0.7156156156156156,0.031177605972641978
citeseer,proba,0.9,2.0,0.7156156156156157,0.03289777263928077
citeseer,rwr,0.1,0.1,0.2838397328881469,0.03012643076544304
citeseer,rwr,0.1,0.30000000000000004,0.383372287145242,0.03382494089685125
citeseer,rwr,0.1,0.5000000000000001,0.4684474123539233,0.030761785797384866
